"Generation","Fitness"
"0","1010.9489475657174"
"1","599.1202527480065"
"2","599.1202527480065"
"3","599.1202527480065"
"4","566.2911957482819"
"5","599.1202527480065"
"6","440.928493346781"
"7","440.928493346781"
"8","440.928493346781"
"9","470.98698335237367"
"10","469.20749025991887"
"11","466.6562657235482"
"12","466.6562657235482"
"13","466.6562657235482"
"14","469.20749025991887"
"15","447.38623424455295"
"16","445.02297975649765"
"17","445.02297975649765"
"18","445.0229797564976"
"19","445.0229797564976"
"20","445.02297975649765"
"21","445.02297975649765"
"22","445.02297975649765"
"23","445.02297975649765"
"24","445.02297975649765"
"25","445.02297975649765"
"26","445.02297975649765"
"27","445.02297975649765"
"28","445.02297975649765"
"29","445.02297975649765"
"30","445.02297975649765"
"31","445.02297975649765"
"32","445.02297975649765"
"33","445.02297975649765"
"34","445.02297975649765"
"35","445.02297975649765"
"36","445.02297975649765"
"37","445.02297975649765"
"38","445.02297975649765"
"39","445.02297975649765"
"40","432.08379377458493"
"41","432.08379377458493"
"42","432.08379377458493"
"43","432.08379377458493"
"44","432.08379377458493"
"45","432.08379377458493"
"46","432.08379377458476"
"47","432.08379377458476"
"48","432.08379377458476"
"49","432.08379377458476"
"50","432.08379377458476"
"51","432.08379377458476"
"52","432.0837937745847"
"53","432.0837937745847"
"54","432.0837937745847"
"55","432.0837937745847"
"56","432.0837937745847"
"57","432.08379377458516"
"58","432.08379377458516"
"59","432.08379377458516"
"60","432.08379377458476"
"61","432.08379377458476"
"62","432.08379377458476"
"63","432.08379377458476"
"64","432.08379377458476"
"65","432.08379377458476"
"66","432.08379377458476"
"67","432.08379377458476"
"68","432.08379377458476"
"69","432.08379377458476"
"70","432.08379377458476"
"71","432.08379377458476"
"72","432.08379377458476"
"73","432.08379377458476"
"74","432.08379377458476"
"75","65.71931297080988"
"76","65.71931297080988"
"77","65.71931297080988"
"78","65.71931297080988"
"79","65.71931297080988"
"80","63.203985727998536"
"81","62.97356836725261"
"82","62.97356836725261"
"83","62.97356836725261"
"84","62.97356836725261"
"85","62.77356836725261"
"86","62.32999577212413"
"87","57.980748355425774"
"88","57.8618838361573"
"89","57.8618838361573"
"90","57.8618838361573"
"91","57.8618838361573"
"92","57.06980444968439"
"93","57.06980444968439"
"94","57.06980444968439"
"95","56.21269247322776"
"96","56.17343756974967"
"97","56.17343756974967"
"98","56.17343756974967"
"99","56.17343756974967"
"100","56.17343756974967"
"101","56.17343756974967"
"102","56.17343756974967"
"103","56.17343756974967"
"104","56.17343756974967"
"105","56.17343756974967"
"106","56.17343756974967"
"107","56.17343756974967"
"108","56.17343756974967"
"109","56.17343756974967"
"110","56.17343756974967"
"111","56.17343756974967"
"112","56.17343756974967"
"113","56.17343756974967"
"114","56.17343756974967"
"115","56.17343756974967"
"116","56.17343756974967"
"117","56.17343756974967"
"118","56.17343756974967"
"119","56.17343756974967"
"120","56.17343756974967"
"121","56.17343756974967"
"122","56.17343756974967"
"123","56.17343756974967"
"124","56.17343756974967"
"125","56.17343756974967"
"126","56.17343756974967"
"127","56.17343756974967"
"128","56.17343756974967"
"129","56.17343756974967"
