"Generation","Fitness"
"0","1355.6485429756444"
"1","891.3108736365364"
"2","891.3108736365364"
"3","891.257682168124"
"4","593.5399873701637"
"5","593.5399873701637"
"6","593.5399873701637"
"7","593.5399873701637"
"8","574.3203755311965"
"9","574.3203755311965"
"10","582.3495553141115"
"11","574.3203755311965"
"12","574.3203755311965"
"13","566.2911957482816"
"14","566.2911957482816"
"15","566.2911957482816"
"16","566.2911957482816"
"17","566.2911957482816"
"18","558.6969950292469"
"19","558.6969950292469"
"20","558.6969950292469"
"21","558.6969950292469"
"22","558.6969950292469"
"23","558.6969950292469"
"24","558.6969950292469"
"25","553.1016620336154"
"26","445.02297975649776"
"27","445.02297975649776"
"28","445.02297975649776"
"29","445.02297975649776"
"30","445.02297975649776"
"31","445.02297975649776"
"32","445.02297975649776"
"33","445.02297975649776"
"34","445.0229797564978"
"35","445.0229797564978"
"36","445.02297975649765"
"37","445.02297975649765"
"38","445.02297975649765"
"39","445.02297975649765"
"40","445.02297975649765"
"41","445.02297975649765"
"42","445.02297975649765"
"43","445.02297975649765"
"44","445.02297975649765"
"45","445.02297975649765"
"46","445.02297975649765"
"47","434.13038087095214"
"48","445.0229797564976"
"49","445.0229797564976"
"50","1.7976931348623157E308"
"51","1.7976931348623157E308"
"52","1.7976931348623157E308"
"53","1.7976931348623157E308"
"54","1.7976931348623157E308"
"55","1.7976931348623157E308"
"56","1.7976931348623157E308"
"57","1.7976931348623157E308"
"58","1.7976931348623157E308"
"59","1.7976931348623157E308"
"60","1.7976931348623157E308"
"61","1.7976931348623157E308"
"62","1.7976931348623157E308"
"63","1.7976931348623157E308"
"64","1.7976931348623157E308"
"65","1.7976931348623157E308"
"66","1.7976931348623157E308"
"67","1.7976931348623157E308"
"68","1.7976931348623157E308"
"69","1.7976931348623157E308"
"70","1.7976931348623157E308"
"71","1.7976931348623157E308"
"72","1.7976931348623157E308"
"73","1.7976931348623157E308"
"74","1.7976931348623157E308"
"75","1.7976931348623157E308"
"76","1.7976931348623157E308"
"77","1.7976931348623157E308"
"78","1.7976931348623157E308"
"79","1.7976931348623157E308"
"80","1.7976931348623157E308"
"81","1.7976931348623157E308"
"82","1.7976931348623157E308"
"83","1.7976931348623157E308"
"84","1.7976931348623157E308"
"85","1.7976931348623157E308"
"86","1.7976931348623157E308"
"87","1.7976931348623157E308"
"88","1.7976931348623157E308"
"89","1.7976931348623157E308"
"90","1.7976931348623157E308"
"91","1.7976931348623157E308"
"92","1.7976931348623157E308"
"93","1.7976931348623157E308"
"94","1.7976931348623157E308"
"95","1.7976931348623157E308"
"96","1.7976931348623157E308"
"97","1.7976931348623157E308"
"98","1.7976931348623157E308"
"99","1.7976931348623157E308"
"100","1.7976931348623157E308"
"101","1.7976931348623157E308"
"102","1.7976931348623157E308"
"103","1.7976931348623157E308"
"104","1.7976931348623157E308"
"105","1.7976931348623157E308"
"106","1.7976931348623157E308"
"107","1.7976931348623157E308"
"108","1.7976931348623157E308"
"109","1.7976931348623157E308"
"110","1.7976931348623157E308"
"111","1.7976931348623157E308"
"112","1.7976931348623157E308"
"113","1.7976931348623157E308"
"114","1.7976931348623157E308"
"115","1.7976931348623157E308"
"116","1.7976931348623157E308"
"117","1.7976931348623157E308"
"118","1.7976931348623157E308"
"119","1.7976931348623157E308"
"120","1.7976931348623157E308"
"121","1.7976931348623157E308"
"122","1.7976931348623157E308"
"123","1.7976931348623157E308"
"124","1.7976931348623157E308"
"125","1.7976931348623157E308"
"126","1.7976931348623157E308"
"127","1.7976931348623157E308"
"128","1.7976931348623157E308"
"129","1.7976931348623157E308"
"130","1.7976931348623157E308"
"131","1.7976931348623157E308"
"132","1.7976931348623157E308"
"133","1.7976931348623157E308"
"134","1.7976931348623157E308"
"135","1.7976931348623157E308"
"136","1.7976931348623157E308"
"137","1.7976931348623157E308"
"138","1.7976931348623157E308"
"139","1.7976931348623157E308"
"140","1.7976931348623157E308"
"141","1.7976931348623157E308"
"142","1.7976931348623157E308"
"143","1.7976931348623157E308"
"144","1.7976931348623157E308"
"145","1.7976931348623157E308"
"146","1.7976931348623157E308"
"147","1.7976931348623157E308"
"148","1.7976931348623157E308"
"149","1.7976931348623157E308"
"150","1.7976931348623157E308"
"151","1.7976931348623157E308"
"152","1.7976931348623157E308"
"153","1.7976931348623157E308"
"154","1.7976931348623157E308"
"155","1.7976931348623157E308"
"156","1.7976931348623157E308"
"157","1.7976931348623157E308"
"158","1.7976931348623157E308"
"159","1.7976931348623157E308"
"160","1.7976931348623157E308"
"161","1.7976931348623157E308"
"162","1.7976931348623157E308"
"163","1.7976931348623157E308"
"164","1.7976931348623157E308"
"165","1.7976931348623157E308"
"166","1.7976931348623157E308"
"167","1.7976931348623157E308"
"168","1.7976931348623157E308"
"169","1.7976931348623157E308"
"170","1.7976931348623157E308"
"171","1.7976931348623157E308"
"172","1.7976931348623157E308"
"173","1.7976931348623157E308"
"174","1.7976931348623157E308"
"175","550.3244683234387"
"176","1.7976931348623157E308"
"177","1.7976931348623157E308"
"178","1.7976931348623157E308"
"179","1.7976931348623157E308"
"180","1.7976931348623157E308"
"181","1.7976931348623157E308"
"182","1.7976931348623157E308"
"183","1.7976931348623157E308"
"184","1.7976931348623157E308"
"185","1.7976931348623157E308"
"186","1.7976931348623157E308"
"187","1.7976931348623157E308"
"188","1.7976931348623157E308"
"189","1.7976931348623157E308"
"190","1.7976931348623157E308"
"191","1.7976931348623157E308"
"192","1.7976931348623157E308"
"193","1.7976931348623157E308"
"194","1.7976931348623157E308"
"195","1.7976931348623157E308"
"196","1.7976931348623157E308"
"197","1.7976931348623157E308"
"198","1.7976931348623157E308"
"199","1.7976931348623157E308"
"200","1.7976931348623157E308"
"201","1.7976931348623157E308"
"202","1.7976931348623157E308"
"203","1.7976931348623157E308"
"204","1.7976931348623157E308"
"205","1.7976931348623157E308"
"206","1.7976931348623157E308"
"207","1.7976931348623157E308"
"208","1.7976931348623157E308"
"209","1.7976931348623157E308"
"210","1.7976931348623157E308"
