"Generation","Fitness"
"0","1024.3299252524596"
"1","927.9926296960185"
"2","603.5550096898794"
"3","622.6248975339211"
"4","622.6248975339211"
"5","622.6248975339211"
"6","591.4474685170806"
"7","591.4474685170806"
"8","589.58289580385"
"9","589.58289580385"
"10","566.2911957482819"
"11","566.2911957482819"
"12","566.2911957482819"
"13","566.2911957482819"
"14","566.2911957482819"
"15","566.2911957482819"
"16","566.2911957482819"
"17","566.2911957482819"
"18","566.2911957482819"
"19","566.2911957482819"
"20","566.2911957482819"
"21","566.2911957482819"
"22","566.2911957482819"
"23","566.2911957482819"
"24","566.2911957482819"
"25","566.2911957482819"
"26","566.2911957482819"
"27","566.2911957482819"
"28","566.2911957482819"
"29","566.2911957482819"
"30","566.2911957482819"
"31","566.2911957482819"
"32","558.6673750520257"
"33","558.6673750520257"
"34","553.0882358877525"
"35","560.0543912595194"
"36","560.0543912595194"
"37","560.0543912595194"
"38","560.0543912595194"
"39","560.0543912595194"
"40","560.0543912595194"
"41","560.0543912595194"
"42","560.0543912595194"
"43","541.4644739083841"
"44","541.4644739083841"
"45","541.4644739083841"
"46","502.9244109503932"
"47","502.9244109503932"
"48","502.9244109503932"
"49","502.9244109503932"
"50","502.9244109503932"
"51","502.9244109503932"
"52","497.8600786835416"
"53","57.051533268917986"
"54","77.46773889666547"
"55","60.719821276561696"
"56","60.719821276561696"
"57","60.719821276561696"
"58","60.719821276561696"
"59","58.65736922550095"
"60","58.65736922550097"
"61","58.65736922550097"
"62","58.65736922550097"
"63","21.416205627747456"
"64","8.029179782914811"
"65","8.029179782914811"
"66","8.029179782914811"
"67","1.0000000000000207"
"68","4.199307568342192E-14"
