"Generation","Fitness"
"0","1064.5902331675597"
"1","1064.5902331675597"
"2","1024.3299252524596"
"3","1024.3299252524596"
"4","875.0867359166976"
"5","875.0867359166976"
"6","731.667781088525"
"7","731.667781088525"
"8","731.667781088525"
"9","731.667781088525"
"10","566.2911957482819"
"11","566.2911957482819"
"12","566.2911957482819"
"13","558.6673750520257"
"14","558.6673750520257"
"15","558.6673750520257"
"16","558.6673750520257"
"17","558.6673750520257"
"18","558.6673750520257"
"19","558.6673750520257"
"20","57.051533268917964"
"21","57.051533268917964"
"22","57.051533268917964"
"23","57.051533268917964"
"24","57.051533268917964"
"25","57.051533268917964"
"26","56.173437569749716"
"27","56.173437569749716"
"28","56.173437569749716"
"29","56.173437569749716"
"30","56.173437569749716"
"31","56.173437569749716"
"32","56.173437569749716"
"33","56.173437569749716"
"34","56.173437569749716"
"35","56.173437569749716"
"36","56.173437569749716"
"37","56.173437569749716"
"38","56.173437569749716"
"39","56.173437569749716"
"40","56.173437569749716"
"41","56.173437569749716"
"42","56.173437569749716"
"43","56.173437569749716"
"44","56.173437569749716"
"45","56.173437569749716"
"46","56.173437569749716"
"47","56.173437569749716"
"48","56.173437569749716"
"49","56.173437569749716"
"50","56.173437569749716"
"51","56.173437569749716"
"52","56.173437569749716"
"53","56.173437569749716"
"54","56.173437569749716"
"55","56.173437569749716"
"56","56.173437569749716"
"57","56.173437569749716"
"58","56.173437569749716"
"59","56.173437569749716"
"60","56.173437569749716"
"61","56.173437569749716"
"62","56.173437569749716"
"63","56.173437569749716"
"64","56.173437569749716"
"65","56.173437569749716"
"66","56.173437569749716"
"67","56.173437569749716"
"68","56.173437569749716"
"69","56.173437569749716"
"70","56.173437569749716"
"71","56.173437569749716"
"72","56.173437569749716"
"73","56.173437569749716"
"74","56.173437569749716"
"75","56.173437569749716"
"76","56.173437569749716"
"77","56.173437569749716"
"78","56.173437569749716"
"79","56.173437569749716"
"80","56.173437569749716"
"81","56.173437569749716"
"82","56.173437569749716"
"83","56.173437569749716"
"84","56.17040837261365"
"85","56.17040837261365"
"86","56.17040837261365"
"87","56.17040837261365"
"88","56.17040837261365"
"89","56.17040837261365"
"90","56.17040837261365"
"91","56.173437569749716"
"92","56.173437569749716"
"93","56.173437569749716"
"94","56.173437569749716"
"95","56.173437569749716"
"96","56.173437569749716"
"97","56.173437569749716"
"98","56.173437569749716"
"99","56.173437569749716"
"100","56.173437569749716"
"101","56.173437569749716"
"102","56.173437569749716"
"103","56.173437569749716"
"104","56.173437569749716"
"105","56.173437569749716"
"106","56.173437569749716"
"107","56.173437569749716"
"108","56.173437569749716"
"109","56.173437569749716"
"110","56.173437569749716"
"111","56.173437569749716"
"112","56.173437569749716"
"113","56.173437569749716"
"114","56.173437569749716"
"115","56.173437569749716"
"116","56.173437569749716"
"117","56.173437569749716"
"118","56.173437569749716"
"119","56.173437569749716"
"120","56.173437569749716"
"121","56.173437569749716"
"122","56.173437569749716"
"123","56.173437569749716"
"124","56.173437569749716"
"125","56.173437569749716"
"126","56.173437569749716"
"127","56.173437569749716"
"128","56.173437569749716"
"129","56.173437569749716"
"130","56.173437569749716"
"131","56.173437569749716"
"132","56.173437569749716"
"133","56.173437569749716"
"134","56.173437569749716"
"135","56.173437569749716"
"136","56.173437569749716"
"137","56.173437569749716"
"138","56.173437569749716"
"139","56.173437569749716"
"140","56.173437569749716"
"141","56.173437569749716"
"142","56.173437569749716"
"143","56.173437569749716"
"144","56.173437569749716"
"145","56.173437569749716"
"146","56.173437569749716"
"147","56.173437569749716"
"148","56.173437569749716"
"149","56.173437569749716"
"150","56.173437569749694"
"151","56.173437569749694"
"152","56.173437569749694"
"153","56.173437569749694"
"154","56.173437569749716"
"155","56.173437569749716"
"156","56.173437569749716"
"157","56.173437569749716"
"158","56.173437569749716"
"159","56.173437569749716"
"160","56.173437569749716"
"161","56.173437569749716"
"162","56.173437569749716"
"163","56.173437569749716"
"164","56.173437569749716"
"165","56.173437569749716"
"166","56.173437569749716"
"167","56.173437569749716"
"168","56.173437569749716"
"169","56.173437569749716"
"170","56.17040837261363"
"171","56.173437569749716"
"172","56.173437569749716"
"173","56.173437569749716"
"174","56.173437569749716"
"175","56.173437569749716"
"176","56.173437569749716"
"177","56.173437569749716"
"178","56.1734375697497"
"179","56.1734375697497"
"180","56.1734375697497"
"181","56.173437569749716"
"182","56.173437569749716"
"183","56.173437569749716"
"184","56.173437569749716"
"185","56.173437569749716"
"186","56.173437569749716"
"187","56.173437569749716"
"188","56.173437569749716"
"189","56.173437569749716"
"190","56.173437569749716"
"191","56.173437569749716"
"192","56.173437569749716"
"193","56.173437569749716"
"194","56.173437569749716"
"195","56.173437569749716"
"196","56.173437569749716"
"197","56.173437569749716"
"198","56.173437569749716"
"199","56.173437569749716"
"200","56.173437569749716"
"201","56.173437569749716"
"202","56.173437569749716"
"203","56.173437569749716"
"204","56.173437569749716"
"205","56.173437569749716"
"206","56.173437569749716"
"207","56.173437569749716"
"208","56.173437569749694"
"209","56.173437569749694"
"210","56.173437569749694"
"211","56.173437569749694"
"212","56.173437569749694"
"213","56.173437569749694"
"214","56.173437569749694"
"215","56.173437569749694"
"216","56.173437569749694"
"217","56.173437569749694"
"218","56.173437569749694"
"219","56.173437569749694"
"220","10.292127962408731"
"221","8.029179782914799"
"222","8.029179782914799"
"223","8.029179782914799"
"224","8.029179782914799"
"225","8.029179782914799"
"226","8.029179782914799"
"227","8.029179782914799"
"228","8.029179782914799"
"229","8.029179782914799"
"230","8.029179782914799"
"231","8.029179782914799"
