"Generation","Fitness"
"0","712.8944751942206"
"1","948.4859617274614"
"2","717.4939233792023"
"3","876.9446748179662"
"4","715.0721267011955"
"5","715.0721267011955"
"6","715.0721267011955"
"7","697.1896781230014"
"8","697.1896781230014"
"9","582.3495553141113"
"10","582.3495553141113"
"11","530.2909258203239"
"12","530.2909258203239"
"13","557.2405026277252"
"14","445.02297975649765"
"15","445.02297975649765"
"16","61.62173725741506"
"17","82.77748072415406"
"18","65.04682054511416"
"19","65.04682054511416"
"20","65.04682054511416"
"21","60.84252175091547"
"22","65.50221528281295"
"23","65.50221528281295"
"24","65.50221528281295"
"25","24.038928942910562"
"26","8.029179782914817"
"27","9.667247534043463"
"28","8.029179782914833"
"29","8.029179782914833"
"30","8.029179782914833"
"31","8.029179782914833"
"32","8.029179782914808"
"33","8.029179782914808"
"34","7.125759306285483"
"35","7.125759306285483"
"36","7.125759306285483"
"37","7.125759306285483"
"38","7.125759306285483"
"39","7.125759306285483"
"40","0.9999999999999838"
"41","1.2461143228392758E-13"
