"Generation","Fitness"
"0","0.08563054491725433"
"1","1.7976931348623157E308"
"2","1.7976931348623157E308"
"3","1.7976931348623157E308"
"4","1.7976931348623157E308"
"5","1.7976931348623157E308"
"6","1.7976931348623157E308"
"7","1.7976931348623157E308"
"8","1.7976931348623157E308"
"9","1.7976931348623157E308"
"10","1.7976931348623157E308"
"11","1.7976931348623157E308"
"12","1.7976931348623157E308"
"13","1.7976931348623157E308"
"14","1.7976931348623157E308"
"15","1.7976931348623157E308"
"16","1.7976931348623157E308"
"17","1.7976931348623157E308"
"18","1.7976931348623157E308"
"19","1.7976931348623157E308"
"20","1.7976931348623157E308"
"21","1.7976931348623157E308"
"22","1.7976931348623157E308"
"23","1.7976931348623157E308"
"24","1.7976931348623157E308"
"25","1.7976931348623157E308"
"26","1.7976931348623157E308"
"27","1.7976931348623157E308"
"28","1.7976931348623157E308"
"29","1.7976931348623157E308"
"30","1.7976931348623157E308"
"31","1.7976931348623157E308"
"32","1.7976931348623157E308"
"33","1.7976931348623157E308"
"34","1.7976931348623157E308"
"35","1.7976931348623157E308"
"36","1.7976931348623157E308"
"37","1.7976931348623157E308"
"38","1.7976931348623157E308"
"39","1.7976931348623157E308"
"40","1.7976931348623157E308"
"41","1.7976931348623157E308"
"42","1.7976931348623157E308"
"43","1.7976931348623157E308"
"44","1.7976931348623157E308"
"45","1.7976931348623157E308"
"46","1.7976931348623157E308"
"47","1.7976931348623157E308"
"48","1.7976931348623157E308"
"49","1.7976931348623157E308"
"50","1.7976931348623157E308"
"51","1.7976931348623157E308"
"52","1.7976931348623157E308"
"53","1.7976931348623157E308"
"54","1.7976931348623157E308"
"55","1.7976931348623157E308"
"56","1.7976931348623157E308"
"57","1.7976931348623157E308"
"58","1.7976931348623157E308"
"59","1.7976931348623157E308"
"60","1.7976931348623157E308"
"61","1.7976931348623157E308"
"62","1.7976931348623157E308"
"63","1.7976931348623157E308"
"64","1.7976931348623157E308"
"65","1.7976931348623157E308"
"66","1.7976931348623157E308"
"67","1.7976931348623157E308"
"68","1.7976931348623157E308"
"69","1.7976931348623157E308"
"70","1.7976931348623157E308"
"71","1.7976931348623157E308"
"72","1.7976931348623157E308"
"73","1.7976931348623157E308"
"74","1.7976931348623157E308"
"75","1.7976931348623157E308"
"76","1.7976931348623157E308"
"77","1.7976931348623157E308"
"78","1.7976931348623157E308"
"79","1.7976931348623157E308"
"80","1.7976931348623157E308"
"81","1.7976931348623157E308"
"82","1.7976931348623157E308"
"83","1.7976931348623157E308"
"84","1.7976931348623157E308"
"85","1.7976931348623157E308"
"86","1.7976931348623157E308"
"87","1.7976931348623157E308"
"88","1.7976931348623157E308"
"89","1.7976931348623157E308"
"90","1.7976931348623157E308"
"91","1.7976931348623157E308"
"92","1.7976931348623157E308"
"93","1.7976931348623157E308"
"94","1.7976931348623157E308"
"95","1.7976931348623157E308"
"96","1.7976931348623157E308"
"97","1.7976931348623157E308"
"98","1.7976931348623157E308"
"99","1.7976931348623157E308"
"100","1.7976931348623157E308"
"101","1.7976931348623157E308"
"102","1.7976931348623157E308"
"103","1.7976931348623157E308"
"104","1.7976931348623157E308"
"105","1.7976931348623157E308"
"106","1.7976931348623157E308"
"107","1.7976931348623157E308"
"108","1.7976931348623157E308"
"109","1.7976931348623157E308"
"110","1.7976931348623157E308"
"111","1.7976931348623157E308"
"112","1.7976931348623157E308"
"113","0.0"
